,IP,Domain,Location
203.219.2.10,203.219.2.10,203-219-2-10.tpgi.com.au,Australia  02  Wahroonga
163.172.7.229,163.172.7.229,163-172-7-229.rev.poneytelecom.eu,United Kingdom  M5  Southend
59.167.215.178,59.167.215.178,ppp215-178.static.internode.on.net,Australia  04  Brisbane
203.45.97.238,203.45.97.238,hallor3.lnk.telstra.net,Australia  02  Rozelle
66.249.64.229,66.249.64.229,crawl-66-249-64-229.googlebot.com,United States  CA  Mountain View
58.6.3.220,58.6.3.220,dsl-58-6-3-220.wa.westnet.com.au,Australia  08  Perth
116.240.0.54,116.240.0.54,54.0-240-116.static.dsl.syd.iprimus.net.au,Australia  02  Sydney
14.1.17.161,14.1.17.161,,Australia  02  Ryde
66.249.64.234,66.249.64.234,crawl-66-249-64-234.googlebot.com,United States  CA  Mountain View
66.249.75.35,66.249.75.35,crawl-66-249-75-35.googlebot.com,United States  CA  Mountain View
202.148.239.62,202.148.239.62,202.148.239.62.securetel.com.au,Australia  02  Sydney
103.17.17.150,103.17.17.150,,Australia  02  Brookvale
203.122.211.161,203.122.211.161,eth203-122-211-161.static.internode.on.net,Australia  05  Adelaide
59.100.1.190,59.100.1.190,59-100-1-190.syd.static-ipl.aapt.com.au,Australia  02  Ryde
103.21.48.189,103.21.48.189,,Australia  05  Adelaide
203.219.79.14,203.219.79.14,203-219-79-14.static.tpgi.com.au,Australia  02  Kareela
203.45.86.131,203.45.86.131,hillga.lnk.telstra.net,Australia  04  Brisbane
122.111.232.240,122.111.232.240,d122-111-232-240.per800.wa.optusnet.com.au,Australia  08  Perth
110.142.40.108,110.142.40.108,westvi4.lnk.telstra.net,Australia  07  Dandenong
180.200.180.80,180.200.180.80,ppp-80.180.200.180.grapevine.net.au,Australia  01  Canberra
54.162.115.208,54.162.115.208,ec2-54-162-115-208.compute-1.amazonaws.com,United States  VA  Ashburn
157.55.39.9,157.55.39.9,msnbot-157-55-39-9.search.msn.com,United States  WA  Redmond
104.131.31.87,104.131.31.87,,United States  NY  New York
58.106.250.156,58.106.250.156,d58-106-250-156.riv800.nsw.optusnet.com.au,Australia  02  Hurstville
120.151.125.18,120.151.125.18,gerrar3.lnk.telstra.net,Australia  02  Kellyville
180.76.15.161,180.76.15.161,baiduspider-180-76-15-161.crawl.baidu.com,China  22  Beijing
202.74.165.242,202.74.165.242,mail.stmarks.wa.edu.au,Australia  08  Cottesloe
203.142.138.34,203.142.138.34,34.138-142-203.dynamic.dsl.pth.iprimus.net.au,Australia  08  Wannanup
203.122.234.10,203.122.234.10,ppp234-10.static.internode.on.net,Australia  05  Adelaide
123.2.16.230,123.2.16.230,230.16.2.123.sta.dodo.net.au,Australia  02  Bondi
121.44.153.120,121.44.153.120,ppp121-44-153-120.lns20.syd7.internode.on.net,Australia  02  Rutherford
127.0.0.1,127.0.0.1,localhost,Reserved space
116.212.216.58,116.212.216.58,mail.mckinleyplowman.com.au,Australia  08  Perth
60.225.147.161,60.225.147.161,CPE-60-225-147-161.hhui6.ken.bigpond.net.au,Australia  02  Balgowlah
203.129.146.181,203.129.146.181,,Australia  02  Merewether
54.174.79.43,54.174.79.43,ec2-54-174-79-43.compute-1.amazonaws.com,United States  VA  Ashburn
157.55.39.218,157.55.39.218,msnbot-157-55-39-218.search.msn.com,United States  WA  Redmond
66.249.74.33,66.249.74.33,crawl-66-249-74-33.googlebot.com,United States  CA  Mountain View
123.211.208.128,123.211.208.128,CPE-123-211-208-128.lnse4.woo.bigpond.net.au,Australia  04  Murrumba
59.100.198.118,59.100.198.118,59-100-198-118.mel.static-ipl.aapt.com.au,Australia  07  Melbourne
58.96.108.166,58.96.108.166,166.108.96.58.static.exetel.com.au,Australia  05  Unley
52.64.86.109,52.64.86.109,ec2-52-64-86-109.ap-southeast-2.compute.amazonaws.com,Australia  02  Sydney
103.246.29.18,103.246.29.18,gw-433.centranetworks.com,Australia  04  Brisbane
151.80.31.141,151.80.31.141,boson129.ahrefs.com,France  B4  Roubaix
66.249.74.36,66.249.74.36,crawl-66-249-74-36.googlebot.com,United States  CA  Mountain View
144.139.128.206,144.139.128.206,mon1931558.lnk.telstra.net,Australia
60.240.154.118,60.240.154.118,60-240-154-118.static.tpgi.com.au,Australia  04  Brisbane
203.193.221.155,203.193.221.155,mail.kwg.com.au,Australia  07  Bendigo
66.249.74.34,66.249.74.34,crawl-66-249-74-34.googlebot.com,United States  CA  Mountain View
66.249.66.112,66.249.66.112,crawl-66-249-66-112.googlebot.com,United States  CA  Mountain View
204.79.180.122,204.79.180.122,,United States
52.74.159.38,52.74.159.38,ec2-52-74-159-38.ap-southeast-1.compute.amazonaws.com,Singapore  00  Singapore
198.105.120.62,198.105.120.62,,New Zealand  E7  Auckland
91.200.12.95,91.200.12.95,seo9.wenlink.com,Ukraine
58.7.70.222,58.7.70.222,58-7-70-222.dyn.iinet.net.au,Australia  08  Perth
119.161.65.178,119.161.65.178,,Australia  07  Saint Leonards
203.144.28.23,203.144.28.23,mail.bamoffrey.com,Australia  04  Surfers Paradise
115.64.27.138,115.64.27.138,115-64-27-138.static.tpgi.com.au,Australia  02  Concord
175.143.82.11,175.143.82.11,,Malaysia  05  Seremban
210.10.201.42,210.10.201.42,210-10-201-42.syd.static-ipl.aapt.com.au,Australia
203.10.111.131,203.10.111.131,auzl24001.btal.com.au,Australia  02  Sydney
66.249.64.239,66.249.64.239,crawl-66-249-64-239.googlebot.com,United States  CA  Mountain View
116.212.251.190,116.212.251.190,116.212.251.190.static.amnet.net.au,Australia  08  Perth
218.214.57.228,218.214.57.228,228.57.214.218.sta.commander.net.au,Australia
146.88.65.2,146.88.65.2,,Philippines
180.191.159.214,180.191.159.214,,Philippines  D9  Makati City
203.87.16.146,203.87.16.146,146.16.87.203.static.vic.chariot.net.au,Australia  07  South Melbourne
120.149.32.111,120.149.32.111,CPE-120-149-32-111.oirx2.lon.bigpond.net.au,Australia  07  Bentleigh East
59.100.201.30,59.100.201.30,mail.daley.com.au,Australia  02  Parramatta
203.57.208.60,203.57.208.60,203-57-208-60.dyn.iinet.net.au,Australia  06  Hobart
110.174.132.136,110.174.132.136,110-174-132-136.static.tpgi.com.au,Australia  02  North Sydney
202.6.159.58,202.6.159.58,mail.edwardsmarshall.com.au,Australia  05  Adelaide
203.191.197.138,203.191.197.138,203-191-197-138.static.tpgi.com.au,Australia  02  Auburn
120.150.219.71,120.150.219.71,the1226911.lnk.telstra.net,Australia  02  Putney
54.163.36.0,54.163.36.0,ec2-54-163-36-0.compute-1.amazonaws.com,United States  VA  Ashburn
124.246.26.92,124.246.26.92,124.246.26.92.static.nexnet.net.au,Australia
119.147.146.194,119.147.146.194,,China  30  Guangzhou
119.147.146.195,119.147.146.195,,China  30  Guangzhou
119.147.146.193,119.147.146.193,,China  30  Guangzhou
119.147.146.192,119.147.146.192,,China  30  Guangzhou
203.87.52.250,203.87.52.250,203-87-52-250.static.tpgi.com.au,Australia  02  Sydney
203.59.226.28,203.59.226.28,lochie.ologhlen.com.au,Australia  08  Perth
49.180.139.35,49.180.139.35,pa49-180-139-35.pa.nsw.optusnet.com.au,Australia  02  Sydney
10.0.0.99,10.0.0.99,,Private network
124.169.213.40,124.169.213.40,124-169-213-40.dyn.iinet.net.au,Australia  05  Adelaide
115.64.197.54,115.64.197.54,115-64-197-54.static.tpgi.com.au,Australia  04  Chapel Hill
203.112.87.138,203.112.87.138,,Asia/Pacific Region
94.3.125.254,94.3.125.254,5e037dfe.bb.sky.com,United Kingdom  H9  London
150.101.200.121,150.101.200.121,eth1914.nsw.adsl.internode.on.net,Australia  02  Chatswood
121.221.115.150,121.221.115.150,CPE-121-221-115-150.lns7.wel.bigpond.net.au,Australia  08  Morley
122.56.186.129,122.56.186.129,122-56.186-129.n4l.sparkdigital.co.nz,New Zealand  E8  Rotorua
103.27.224.55,103.27.224.55,,Australia  02  Sydney
27.109.11.102,27.109.11.102,,India  09  Gandhinagar
49.195.3.219,49.195.3.219,pa49-195-3-219.pa.nsw.optusnet.com.au,Australia  02  Coal Point
141.8.143.168,141.8.143.168,spider-141-8-143-168.yandex.com,Russian Federation
220.233.149.170,220.233.149.170,170.149.233.220.static.exetel.com.au,Australia  02  Auburn
203.206.173.31,203.206.173.31,mail.medacs.com.au,Australia  02  Sydney
203.33.107.2,203.33.107.2,,Australia  02  Sydney
103.20.17.67,103.20.17.67,,Australia  08  Perth
58.165.36.24,58.165.36.24,CPE-58-165-36-24.lns1.lon.bigpond.net.au,Australia  04  Brisbane
59.100.28.115,59.100.28.115,59-100-28-115.mel.static-ipl.aapt.com.au,Australia  07  Richmond
121.208.33.39,121.208.33.39,CPE-121-208-33-39.azly1.woo.bigpond.net.au,Australia  04  Chapel Hill
220.240.33.31,220.240.33.31,220-240-33-31.static.tpgi.com.au,Australia  02  Arncliffe
101.188.113.102,101.188.113.102,,Australia  07  Rowville
109.59.83.224,109.59.83.224,109.59.83.224.mobile.3.dk,Denmark
122.149.88.35,122.149.88.35,35.88.149.122.sta.dodo.net.au,Australia
118.209.204.61,118.209.204.61,ppp118-209-204-61.lns20.mel8.internode.on.net,Australia  07  Melbourne
118.208.196.136,118.208.196.136,ppp118-208-196-136.lns20.hba1.internode.on.net,Australia  06  Blackmans Bay
101.179.240.243,101.179.240.243,CPE-101-179-240-243.lnse6.cht.bigpond.net.au,Australia
124.171.34.40,124.171.34.40,124-171-34-40.dyn.iinet.net.au,Australia  02  Sydney
58.161.73.238,58.161.73.238,CPE-58-161-73-238.cqyn1.win.bigpond.net.au,Australia  07  Blackburn
92.63.81.85,92.63.81.85,ip81-85.mwtv.lv,Latvia
180.190.115.193,180.190.115.193,,Philippines  D9  Makati
186.15.163.99,186.15.163.99,ip99-163-15-186.ct.co.cr,Costa Rica  04  Heredia
91.200.12.139,91.200.12.139,seo9.heilink.com,Ukraine
43.250.158.70,43.250.158.70,,India  09  Ahmedabad
157.55.39.24,157.55.39.24,msnbot-157-55-39-24.search.msn.com,United States  WA  Redmond
121.211.224.120,121.211.224.120,CPE-121-211-224-120.hhui7.cht.bigpond.net.au,Australia  02  Coogee
110.142.17.81,110.142.17.81,thetru3088.lnk.telstra.net,Australia  02  Sydney
61.88.19.254,61.88.19.254,,Australia
101.187.125.161,101.187.125.161,gre1494895.lnk.telstra.net,Australia  04  Buddina
60.241.67.144,60.241.67.144,60-241-67-144.static.tpgi.com.au,Australia  02  Castle Hill
122.174.11.188,122.174.11.188,abts-tn-dynamic-188.11.174.122.airtelbroadband.in,India  25  Chennai
62.4.22.54,62.4.22.54,62-4-22-54.rev.poneytelecom.eu,France
85.255.232.179,85.255.232.179,,United Kingdom
202.72.35.130,202.72.35.130,mail.epagroup.com.au,Australia  07  Melbourne
203.206.182.110,203.206.182.110,remote.williamsonpartners.com.au,Australia  07  Kew
103.18.52.60,103.18.52.60,dc2-ch-ix.cloudit.com.au,Australia  04  Aspley
43.226.7.78,43.226.7.78,43-226-7-78.static.rise.as,Philippines  B7  Cebu City
120.151.137.61,120.151.137.61,svikis.lnk.telstra.net,Australia  02  Auburn
150.70.188.169,150.70.188.169,150-70-188-169.trendmicro.com,Japan
150.70.173.7,150.70.173.7,150-70-173-7.trendmicro.com,Japan
150.70.97.96,150.70.97.96,150-70-97-96.trendmicro.com,Japan
150.70.173.12,150.70.173.12,150-70-173-12.trendmicro.com,Japan
103.44.43.54,103.44.43.54,103-44-43-54.yssy01.au.vertiro.co,Australia  02  Sydney
125.255.32.232,125.255.32.232,b40E8.static.pacific.net.au,Australia  02  Sydney
203.206.133.199,203.206.133.199,203-206-133-199.perm.iinet.net.au,Australia  08  Perth
165.228.156.228,165.228.156.228,hollin.lnk.telstra.net,Australia  07  Cheltenham
150.70.173.54,150.70.173.54,150-70-173-54.trendmicro.com,Japan
150.70.173.51,150.70.173.51,150-70-173-51.trendmicro.com,Japan
150.70.173.41,150.70.173.41,150-70-173-41.trendmicro.com,Japan
150.70.173.48,150.70.173.48,150-70-173-48.trendmicro.com,Japan
150.70.173.6,150.70.173.6,150-70-173-6.trendmicro.com,Japan
150.70.173.14,150.70.173.14,150-70-173-14.trendmicro.com,Japan
123.51.13.2,123.51.13.2,123-51-13-2.static.dsl.net.au,Australia  07  Berwick
150.70.97.97,150.70.97.97,150-70-97-97.trendmicro.com,Japan
134.159.131.34,134.159.131.34,unknown.telstraglobal.net,Australia  02  Sydney
40.77.167.13,40.77.167.13,msnbot-40-77-167-13.search.msn.com,United States
202.173.142.51,202.173.142.51,dsl-202-173-142-51.sa.westnet.com.au,Australia
77.66.60.75,77.66.60.75,crawl-77.66.60.75.findxbot.com,Denmark
101.181.181.127,101.181.181.127,CPE-101-181-181-127.lnse6.cha.bigpond.net.au,Australia  07  Rowville
110.23.17.83,110.23.17.83,c110-23-17-83.rochd7.qld.optusnet.com.au,Australia  04  Brisbane
110.22.120.133,110.22.120.133,c110-22-120-133.eburwd6.vic.optusnet.com.au,Australia  07  Burwood
120.150.169.120,120.150.169.120,sci1532153.lnk.telstra.net,Australia  02  Sydney
150.70.188.178,150.70.188.178,150-70-188-178.trendmicro.com,Japan
150.70.188.167,150.70.188.167,150-70-188-167.trendmicro.com,Japan
150.70.188.181,150.70.188.181,150-70-188-181.trendmicro.com,Japan
150.70.188.176,150.70.188.176,150-70-188-176.trendmicro.com,Japan
141.105.68.4,141.105.68.4,,Russian Federation
58.96.100.223,58.96.100.223,223.100.96.58.static.exetel.com.au,Australia  07  Hawthorn
150.70.188.165,150.70.188.165,150-70-188-165.trendmicro.com,Japan
150.70.188.182,150.70.188.182,150-70-188-182.trendmicro.com,Japan
150.70.173.50,150.70.173.50,150-70-173-50.trendmicro.com,Japan
150.70.173.58,150.70.173.58,150-70-173-58.trendmicro.com,Japan
150.70.173.8,150.70.173.8,150-70-173-8.trendmicro.com,Japan
150.70.173.56,150.70.173.56,150-70-173-56.trendmicro.com,Japan
8.37.217.218,8.37.217.218,,United States
124.83.12.22,124.83.12.22,,Philippines
150.70.173.43,150.70.173.43,150-70-173-43.trendmicro.com,Japan
220.244.149.42,220.244.149.42,mail.wearne.com.au,Australia  02  Crows Nest
150.70.188.179,150.70.188.179,150-70-188-179.trendmicro.com,Japan
150.70.188.166,150.70.188.166,150-70-188-166.trendmicro.com,Japan
150.70.188.172,150.70.188.172,150-70-188-172.trendmicro.com,Japan
150.70.97.130,150.70.97.130,150-70-97-130.trendmicro.com,Japan
150.70.188.171,150.70.188.171,150-70-188-171.trendmicro.com,Japan
220.239.107.128,220.239.107.128,c220-239-107-128.belrs4.nsw.optusnet.com.au,Australia  02  Allambie Heights
66.249.69.229,66.249.69.229,crawl-66-249-69-229.googlebot.com,United States  CA  Mountain View
182.75.116.2,182.75.116.2,nsg-static-2.116.75.182-airtel.com,India
1.129.96.23,1.129.96.23,,Australia  02  Sydney
151.80.31.134,151.80.31.134,boson119.ahrefs.com,France  B4  Roubaix
40.77.167.69,40.77.167.69,msnbot-40-77-167-69.search.msn.com,United States
107.170.57.98,107.170.57.98,,United States  NY  New York
172.194.28.28,172.194.28.28,cpe-172-194-28-28.nsw.foxtel.net.au,Australia
157.55.39.178,157.55.39.178,msnbot-157-55-39-178.search.msn.com,United States  WA  Redmond
40.77.167.52,40.77.167.52,msnbot-40-77-167-52.search.msn.com,United States
157.55.39.180,157.55.39.180,msnbot-157-55-39-180.search.msn.com,United States  WA  Redmond
40.77.167.6,40.77.167.6,msnbot-40-77-167-6.search.msn.com,United States
66.249.65.64,66.249.65.64,crawl-66-249-65-64.googlebot.com,United States  CA  Mountain View
40.77.167.58,40.77.167.58,msnbot-40-77-167-58.search.msn.com,United States
220.239.225.123,220.239.225.123,c220-239-225-123.belrs5.nsw.optusnet.com.au,Australia  02  Forestville
66.249.65.67,66.249.65.67,crawl-66-249-65-67.googlebot.com,United States  CA  Mountain View
207.46.13.74,207.46.13.74,msnbot-207-46-13-74.search.msn.com,United States  WA  Redmond
157.55.39.186,157.55.39.186,msnbot-157-55-39-186.search.msn.com,United States  WA  Redmond
43.250.165.157,43.250.165.157,,India  09  Ahmedabad
101.184.131.222,101.184.131.222,,Australia  04  Bulimba
124.187.135.59,124.187.135.59,CPE-124-187-135-59.lns15.ken.bigpond.net.au,Australia  02  Concord
157.55.39.190,157.55.39.190,msnbot-157-55-39-190.search.msn.com,United States  WA  Redmond
157.55.39.34,157.55.39.34,msnbot-157-55-39-34.search.msn.com,United States  WA  Redmond
122.165.110.18,122.165.110.18,abts-tn-static-018.110.165.122.airtelbroadband.in,India  25  Chennai
49.199.27.137,49.199.27.137,pa49-199-27-137.pa.vic.optusnet.com.au,Australia  07  Melbourne
